PDB Penggunaan (Seri 2010),[Seri 2010] PDB menurut Pengeluaran (Milyar Rupiah),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harga Konstan 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,,2012,,,,2011,,,,2010,,,
,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV,Triwulan I,Triwulan II,Triwulan III,Triwulan IV
a. Barang,498767.76,448048.41,-,-,486790.55,479298.68,530973.97,521064.59,494345.52,489961.55,528289.71,525557.28,468021.51,454906.47,488947.63,503861.65,431004.76,445134.81,417290.71,459434.69,450378.55,454288.52,449849.69,442617.79,451921.2,455636.07,458439.37,476731.62,438768.15,451310.76,435733.4,502337.82,424097.87,446015.22,434022.86,456888.38,399960.97,442826.57,448713.34,455162.5,360918.54,365040.04,367923.02,426413.37
a.1. Barang Non-migas,453609.45,404449.6,-,-,433422.93,437308.34,480215.91,475696.27,436452.04,428260.13,472503.93,467695.54,404676.02,394892.63,425588.71,439582.15,366884.88,382860.98,355460.79,401387.82,388995.57,392829.33,382536.07,373771.79,397493.25,398850.49,396448.21,415015.44,378883.03,389014.18,380325.94,436485.54,349974.08,367016.1,368086.94,394065.32,335542.23,362825.82,363897.21,379911.8,303239.85,304827.69,312395.88,346507.31
a.b. Barang migas,45158.31,43598.81,-,-,53367.63,41990.35,50758.07,45368.32,57893.49,61701.42,55785.79,57861.74,63345.48,60013.84,63358.92,64279.5,64119.88,62273.83,61829.92,58046.87,61382.98,61459.18,67313.62,68846,54427.95,56785.58,61991.16,61716.18,59885.12,62296.58,55407.46,65852.28,74123.79,78999.12,65935.91,62823.06,64418.74,80000.75,84816.14,75250.7,57678.69,60212.36,55527.14,79906.06
b. Jasa,47652.3,28395.18,-,-,58357.7,60034.57,67996.41,62603.21,59539.46,58893.69,70106.46,60396.22,55302.83,55762.39,63399.99,56362.05,52041.91,52063.81,57253.67,56958.28,47994.08,50512.18,54418.45,54407.74,49595.66,50475.44,50702.16,54385.58,47472.41,47560.07,49418.95,53512.12,45718.59,42577.26,44734.92,51008.61,39766.78,37536.71,42851.28,47449.77,33983.28,35317.73,37471.71,40850.14
7. Dikurangi Impor Barang dan Jasa,473171.78,406193.3,-,-,483753.11,489170.61,519332.09,537023.87,522793.18,525099.13,566337.54,584033.47,464879.71,456855.27,497794.43,545289.75,443518.14,455895.82,431267.72,487451.47,466762.94,472071.45,449673.09,474431.48,479140.28,507999.08,480780.65,519193.91,456061.85,505845.09,479782.79,504177.59,443128.64,501419.31,457237.35,508514.22,399021.5,434406.63,454970.14,480423.6,349673.83,376099.71,389296.97,422649.27
a. Barang,412301.01,366012.97,-,-,416439.47,420647.03,448046.39,461456.66,454705.66,455623.4,496764.88,508746.39,402845.62,390422.22,431052.39,470092.86,382055.39,389892.12,370728.17,415662.65,402497.99,402719.52,385686.22,405269.83,413339.92,437213.88,411425.1,442465.42,389257.48,433428.5,412545.51,429832.67,377203.04,430680.7,393199.61,430924.69,337364.88,369061.47,387031.75,402429.74,290341.77,315251.1,325969.98,349125.72
a.1. Barang Non-migas,343516.55,313067.72,-,-,357101.98,348868.53,384203.53,385280.46,377299.82,375148.38,411030.59,421670.58,311651.85,315157.64,346894.06,381795.2,303108.1,310190.85,286734.85,337436.4,325250.81,319995.89,303131.26,323713.62,335161.75,361967.94,330924.44,349849.65,306712.63,353048.64,331893.8,346573.6,306629.06,350787.39,323593.01,345271.11,273958.9,295321.18,306963.94,327270.51,230406.12,249144.01,263502.48,278826.89
a.b. Barang migas,68784.46,52945.25,-,-,59337.5,71778.5,63842.86,76176.2,77405.84,80475.02,85734.28,87075.81,91193.77,75264.58,84158.33,88297.66,78947.29,79701.27,83993.32,78226.25,77247.18,82723.63,82554.96,81556.21,78178.18,75245.94,80500.66,92615.77,82544.85,80379.86,80651.71,83259.07,70573.98,79893.31,69606.61,85653.58,63405.98,73740.28,80067.81,75159.23,59935.65,66107.09,62467.5,70298.83
b. Jasa,60870.76,40180.32,-,-,67313.64,68523.59,71285.7,75567.21,68087.52,69475.73,69572.67,75287.08,62034.09,66433.05,66742.04,75196.89,61462.76,66003.71,60539.56,71788.83,64264.95,69351.92,63986.87,69161.65,65800.35,70785.2,69355.55,76728.49,66804.37,72416.59,67237.28,74344.92,65925.6,70738.61,64037.74,77589.53,61656.62,65345.17,67938.39,77993.86,59332.06,60848.61,63326.99,73523.55
Diskrepansi Statistik,27586.53,48165.57,-,-,10044.28,48064.17,32208.44,-33200.72,29311.39,51265.36,48771.28,-36443.12,20983.29,41363.23,34046.01,-3905.74,35645.71,37533.69,34275.84,-6850.91,32301.46,32175,-1268.11,-2251.82,28285.89,34915.24,42062.31,-23944.98,19595.14,19408.07,79650.63,-61077.98,5614.48,23773.66,47819.75,-46325.77,4506.46,2531.23,21703.57,-27489.06,23175.1,20783.22,2718.38,-46676.7
8. PRODUK DOMESTIK BRUTO,2703018.3,2589647.3,-,-,2625156.2,2735291.4,2818887.4,2769908.7,2498580.4,2603764.5,2684167,2638885.4,2378146.4,2473512.9,2552296.9,2508971.9,2264721,2355445,2429260.6,2385186.8,2158040,2238704.4,2312843.5,2272929.2,2058584.9,2137385.6,2207343.6,2161552.5,1958395.5,2036816.6,2103598.1,2057687.6,1855580.2,1929018.7,1993632.3,1948852.2,1748731.2,1816268.2,1881849.7,1840786.2,1642356.3,1709132,1775109.9,1737534.9
