income_group,date,consumer_confidence_index
3.1_4,2020-07-01,81.59788574443304
3.1_4,2020-08-01,83.6915990187931
3.1_4,2020-09-01,78.98517466107312
3.1_4,2020-10-01,75.86223132647974
3.1_4,2020-11-01,87.93683697760925
3.1_4,2020-12-01,95.25766683537614
3.1_4,2021-01-01,82.80492602210549
3.1_4,2021-02-01,82.25753976194439
3.1_4,2021-03-01,91.12056884225535
3.1_4,2021-04-01,98.58042579386822
3.1_4,2021-05-01,104.89244290146252
4.1_5,2012-01-01,118.02631578947368
4.1_5,2012-02-01,113.7875101378751
4.1_5,2012-03-01,110.32986111111111
4.1_5,2012-04-01,110.96829477292201
4.1_5,2012-05-01,116.0033167495854
4.1_5,2012-06-01,116.26737468104201
4.1_5,2012-07-01,118.11619097351051
4.1_5,2012-08-01,122.80000000000001
4.1_5,2012-09-01,120.3483768804434
4.1_5,2012-10-01,125.19025875190259
4.1_5,2012-11-01,125.36231884057972
4.1_5,2012-12-01,124.27937915742794
4.1_5,2013-01-01,125.7
4.1_5,2013-02-01,127
4.1_5,2013-03-01,123.6
4.1_5,2013-04-01,124.3
4.1_5,2013-05-01,119
4.1_5,2013-06-01,123
4.1_5,2013-07-01,114.3
4.1_5,2013-08-01,114.2
4.1_5,2013-09-01,104.5
4.1_5,2013-10-01,110.2
4.1_5,2013-11-01,116.8
4.1_5,2013-12-01,120.3
4.1_5,2014-01-01,119
4.1_5,2014-02-01,120.4
4.1_5,2014-03-01,121.4
4.1_5,2014-04-01,123.7
4.1_5,2014-05-01,124.8
4.1_5,2014-06-01,125.9
4.1_5,2014-07-01,125.3
4.1_5,2014-08-01,125.6
4.1_5,2014-09-01,124.3
4.1_5,2014-10-01,127.1
4.1_5,2014-11-01,122.4
4.1_5,2014-12-01,116.2
4.1_5,2015-01-01,120.9
4.1_5,2015-02-01,118.5
4.1_5,2015-03-01,117.9
4.1_5,2015-04-01,112.6
4.1_5,2015-05-01,118.2
4.1_5,2015-06-01,113.7
4.1_5,2015-07-01,110.2
4.1_5,2015-08-01,115.9
4.1_5,2015-09-01,100.6
4.1_5,2015-10-01,100.7
4.1_5,2015-11-01,107
4.1_5,2015-12-01,110.9
4.1_5,2016-01-01,113.8
4.1_5,2016-02-01,115.2
4.1_5,2016-03-01,112
4.1_5,2016-04-01,107.9
4.1_5,2016-05-01,113.2
4.1_5,2016-06-01,112.5
4.1_5,2016-07-01,109.6
4.1_5,2016-08-01,116
4.1_5,2016-09-01,106.6
4.1_5,2016-10-01,111.7
4.1_5,2016-11-01,113
4.1_5,2016-12-01,113.8
4.1_5,2017-01-01,110.28425615561889
4.1_5,2017-02-01,117.8839633692281
4.1_5,2017-03-01,119.97676099047206
4.1_5,2017-04-01,122.26418883025903
4.1_5,2017-05-01,122.40854638738028
4.1_5,2017-06-01,120.23138311734314
4.1_5,2017-07-01,122.48002147731809
4.1_5,2017-08-01,115.97496743893015
4.1_5,2017-09-01,121.67642568609487
4.1_5,2017-10-01,117.66222573745125
4.1_5,2017-11-01,120.27930889072547
4.1_5,2017-12-01,127.06437493426881
4.1_5,2018-01-01,122.75918167134884
4.1_5,2018-02-01,121.5935175791397
4.1_5,2018-03-01,119.29001746228721
4.1_5,2018-04-01,120.98949915940094
4.1_5,2018-05-01,122.70800604837581
4.1_5,2018-06-01,126.28826461436459
4.1_5,2018-07-01,127.20886873296345
4.1_5,2018-08-01,117.68229689857219
4.1_5,2018-09-01,120.01011318013906
4.1_5,2018-10-01,118.07462615418288
4.1_5,2018-11-01,121.14557628734609
4.1_5,2018-12-01,128.46412586519523
4.1_5,2019-01-01,127.04108641484802
4.1_5,2019-02-01,124.81295801502134
4.1_5,2019-03-01,126.5002553233505
